cofips	deaths	births	low_weight	black	hispanic	others	gini	affluence	disadvantaged	stability	safety
05055	5	538	45	0.308055	0.902735	2.059950	0.46631	-0.70893	-0.29980	-0.58816	5.53298
05057	4	336	34	29.528978	8.343579	2.471701	0.45405	-0.92735	0.87310	-0.23646	1.07999
05059	2	380	32	9.639904	1.667051	1.980035	0.41431	-0.83306	-0.37010	0.41416	0.36520
05061	1	224	22	21.965035	4.559441	1.797203	0.47258	-0.70952	-0.12953	-0.04702	0.01084
05063	3	474	48	2.182105	1.083750	2.450852	0.44447	-0.52434	-0.31398	0.10770	-0.40691
05065	2	135	15	1.403880	0.815156	2.075628	0.45896	-0.78692	-0.34364	0.43406	-0.30684
05067	2	211	26	17.672929	0.868715	1.357368	0.49381	-0.83624	0.43871	-0.01566	0.95567
05069	12	1244	137	49.305869	1.041790	1.697952	0.46503	-0.24120	1.25144	-0.75778	0.85691
05071	2	355	25	1.259822	6.347395	2.225539	0.48014	-0.85268	0.00400	-0.36918	0.68955
05073	0	109	9	36.499591	0.923005	1.156677	0.48365	-1.00118	0.79910	1.20025	0.07217
05075	2	221	17	0.534489	0.438843	1.839766	0.43971	-1.16559	0.13777	-0.48562	-0.58992
05077	3	142	16	55.572337	3.616852	0.532591	0.51224	-1.49302	2.84366	-0.89727	0.82202
05079	1	159	15	32.521391	1.883798	0.966050	0.44276	-1.11927	0.59693	0.45563	-0.93738
05081	1	161	18	20.443205	1.900499	4.329322	0.45149	-0.74053	0.23940	0.43320	-0.65655
05083	2	280	26	1.298586	0.840523	2.405941	0.45180	-0.98259	-0.11648	0.09847	-1.08005
05085	7	777	70	6.541985	1.497312	1.900507	0.39531	0.01188	-0.65300	-0.16379	0.57610
05087	2	175	12	0.119357	2.808397	2.759250	0.46646	-0.86419	-0.36138	0.77759	-0.62349
05089	2	129	10	0.030979	0.539033	2.633209	0.44269	-1.04820	-0.33221	0.35703	0.28986
05091	6	556	55	22.441461	1.510768	2.675370	0.47463	-0.36021	0.66472	-0.69191	2.28612
05093	8	828	95	32.797861	2.108544	1.290906	0.46990	-0.90746	1.43992	-1.39463	4.10796
05095	1	124	12	39.389507	0.994734	0.936220	0.50690	-1.21991	1.16616	-0.32054	2.10200
05097	0	85	5	0.000000	2.888048	1.709032	0.43625	-0.99574	-0.13499	1.48686	-0.78715
05099	1	139	18	30.828729	1.637368	0.833752	0.46788	-1.00191	0.57385	0.51528	-0.51576
05101	0	89	5	0.139405	1.057156	2.869424	0.47112	-1.07771	0.05450	0.76038	-1.11925
05103	3	363	46	38.426537	0.993400	1.076763	0.45430	-0.69178	0.78937	-0.01619	1.25482
05105	0	125	9	1.459497	1.547654	2.595749	0.45154	-0.68327	-0.38127	1.08782	-0.31224
05107	4	450	52	58.563055	1.270562	1.497448	0.51348	-0.94244	3.11497	-1.23664	0.86252
05109	1	125	8	3.804300	3.158454	1.194373	0.48316	-0.87579	-0.53242	1.03772	-0.88558
05111	4	365	35	7.000078	1.483564	1.417194	0.43975	-1.42763	0.62976	-0.50894	1.11477
05113	2	271	25	0.069208	3.356567	3.371397	0.46501	-0.88076	-0.19245	0.31159	-0.42465
05115	5	768	47	2.258165	2.076410	2.759368	0.43270	-0.11276	-0.07477	-0.69863	0.85030
05117	2	116	11	12.758151	1.991823	0.817696	0.46986	-0.70862	-0.22104	0.51446	-0.50071
05119	48	5844	605	31.698269	2.472100	2.894261	0.46205	1.31200	0.16338	-1.70301	1.97431
05121	0	218	16	0.560594	0.648530	2.319318	0.44631	-0.82899	0.17194	-0.16170	3.27584
05123	5	506	54	48.907225	4.920045	1.111528	0.49782	-1.15383	2.62755	-0.95130	3.60100
05125	5	990	80	2.287828	1.124160	2.207617	0.37417	0.25149	-0.89916	0.53813	-0.03913
05127	0	143	12	0.181884	5.356493	3.792288	0.44335	-1.05363	-0.21279	0.17243	0.49059
05129	0	84	7	0.036315	0.593149	2.251543	0.47774	-1.36996	0.11416	0.67720	-0.66974
05131	15	1842	152	6.103188	6.478609	7.400648	0.45955	0.09826	-0.10887	-1.60055	1.78360
05133	2	300	28	5.146919	19.286666	3.033572	0.44382	-1.04348	0.11592	-0.00575	0.23470
05135	2	167	16	0.327122	0.847012	2.447573	0.45048	-0.94129	0.06751	0.24837	-0.29976
05137	0	117	13	0.095660	1.069658	1.817549	0.49363	-0.97359	-0.39203	0.82051	-0.70764
05139	5	630	60	31.819676	1.128668	1.450832	0.47257	-0.36185	0.51485	0.20473	2.08620
05141	0	180	13	0.154397	1.327816	2.840909	0.48314	-0.69490	-0.21605	0.77104	0.65937
05143	25	2800	207	2.089212	8.311828	5.054053	0.44086	0.48383	-0.01742	-2.20320	3.42925
05145	5	926	83	3.933596	1.739001	1.788134	0.44603	-0.43076	0.44261	-0.38104	0.91767
05147	2	99	14	30.511383	0.606338	1.018190	0.50157	-1.25574	1.43351	-0.28270	-1.13891
05149	2	322	30	0.775817	12.871943	2.899853	0.48051	-0.84605	-0.07304	-0.33162	-0.02678
06001	104	21456	1501	14.445735	18.970646	25.769996	0.44674	2.70258	0.03456	-2.28571	0.22835
06003	0	14	0	0.000000	6.291391	21.688742	0.50304	1.15938	0.82678	-0.88323	5.09173
06005	2	275	12	3.376068	8.843305	5.344729	0.42811	0.82932	-0.60376	-0.47419	-0.63771
06007	16	2318	139	1.233444	10.521679	8.439197	0.46904	0.41059	1.22944	-1.54926	-0.03475
06009	2	334	24	0.397002	6.736697	5.259654	0.43813	0.69527	-0.00681	-0.14207	-0.49772
06011	1	336	16	0.345671	46.963412	5.153159	0.43133	-0.65156	0.82956	-0.99157	-0.30248
06013	54	13250	882	9.010809	17.712496	15.537681	0.43945	3.03509	-0.50062	-1.13035	0.06255
06015	3	305	15	4.195296	13.480205	12.262333	0.45390	-0.60704	2.10225	-1.18311	0.66798
06017	7	1729	117	0.605890	9.224627	5.321211	0.43286	1.90599	-0.51505	-0.66230	-0.42042
06019	113	14930	1103	4.961052	44.058283	11.390318	0.46902	0.01661	2.25991	-2.03248	0.18727
06021	1	425	19	0.604846	29.429554	7.980191	0.41559	-0.75528	1.16686	-0.83324	0.02819
06023	10	1480	94	0.722427	6.125611	11.279027	0.46101	0.33399	1.18135	-1.76697	-0.18960
06025	13	2905	173	3.429310	72.411686	4.147203	0.46608	-0.78381	2.66718	-1.48558	-0.27143
06027	3	182	16	0.078016	12.521594	13.285038	0.44119	0.33699	0.00986	-0.44495	-0.21374
06029	83	12544	944	5.598168	38.398084	6.653568	0.45645	-0.20436	1.97935	-1.71797	0.39532
06031	18	2319	163	7.865689	43.632445	7.030689	0.45761	-0.44237	2.15546	-2.58675	-0.00380
06033	4	655	45	2.061431	11.102917	6.204874	0.45488	-0.29315	1.65365	-0.16587	-0.45450
06035	1	271	18	8.726499	13.471089	7.047416	0.42306	-0.31638	0.90964	-1.09803	-0.57294
06037	776	152960	10829	9.361933	44.577543	15.111471	0.49673	1.17823	1.13826	-2.65826	-0.11581
06039	11	2230	149	3.697536	44.255903	5.225451	0.45645	-0.52210	1.98455	-1.16678	-0.46729
06041	10	2769	180	2.834336	11.096733	7.614977	0.48606	4.95557	-1.09084	-1.42357	-0.41948
06043	0	145	7	0.601284	7.483946	7.367192	0.44346	0.30020	1.02065	-0.36609	-0.73959
06045	8	1068	69	0.603953	16.230221	8.417087	0.46736	0.45652	0.79233	-1.09927	0.17316
06047	28	4111	277	3.466569	45.408779	10.846624	0.44250	-0.58512	2.37557	-1.82040	0.15415
06049	0	77	5	0.412742	10.466716	8.604085	0.49727	-0.16240	1.72938	0.10738	-0.42409
06051	2	167	12	0.280090	17.490080	5.975259	0.42915	1.44363	-0.52713	-2.51999	0.35611
06053	37	7176	462	3.506803	46.890448	9.372464	0.44377	0.90250	0.41047	-2.31430	-0.10353
06055	6	1600	91	1.214204	23.614609	6.296317	0.45236	1.90614	-0.70798	-1.21879	-0.69469
06057	5	817	50	0.214054	5.625156	4.057240	0.43522	1.43534	-0.60370	-0.56436	-0.17454
06059	197	44611	2776	1.410714	30.792762	16.660817	0.43813	2.30956	-0.43910	-1.94560	-0.41439
06061	16	3422	212	0.753626	9.579749	6.283037	0.42422	2.45801	-0.83396	-1.15294	-0.40106
06063	0	164	14	0.710718	5.258356	5.224741	0.42463	0.36091	0.30458	-0.49688	-0.25173
06065	178	27386	1914	5.965237	36.193394	6.895037	0.44306	0.40546	0.45303	-1.18425	-0.17769
06067	112	19508	1429	9.494573	15.987998	16.820447	0.43091	1.29300	0.87340	-2.20104	0.45800
06069	3	909	47	0.943006	48.051997	5.286095	0.39431	1.05475	0.07109	-1.33826	-0.39017
06071	218	30379	2245	8.627885	39.188527	8.354812	0.42866	0.18526	1.18466	-1.60075	0.38752
06073	230	44484	2936	5.412830	26.689253	13.008945	0.45232	1.75294	0.04419	-2.48916	-0.42233
06075	29	8220	592	7.443871	14.105877	34.820588	0.49861	3.65464	-0.50105	-3.44238	-0.08794
06077	70	10100	742	6.267056	30.522997	16.020284	0.44130	0.15786	1.54046	-1.76337	0.05099
06079	15	2509	169	1.732197	16.261488	5.957897	0.44388	1.33733	-0.31309	-1.78734	-0.40269
06081	44	9892	681	3.296562	21.832652	25.159051	0.45839	3.65892	-1.13186	-1.47075	-0.27141
06083	28	5673	400	2.071382	34.240147	6.885491	0.47442	1.68880	-0.03103	-2.19753	-0.16565
06085	113	26215	1746	2.523141	24.011387	29.426091	0.42988	3.83486	-0.77356	-1.84667	-0.16654
06087	15	3374	186	0.900619	26.827646	6.800025	0.45224	2.49403	-0.15177	-1.74895	-0.00145
06089	13	2002	135	0.399985	5.406846	7.772456	0.45097	0.16050	1.11100	-1.10332	0.28296
06091	0	26	1	0.253165	6.075949	4.219409	0.42802	0.38666	0.28667	-0.25565	-0.50766
06093	4	444	33	1.232478	7.230085	7.900499	0.48233	0.10614	0.97317	-0.67216	-0.20560
06095	28	5865	400	14.207613	17.642228	19.025097	0.38903	1.24697	0.01732	-1.56674	0.52998
06097	22	5653	332	1.338817	17.361877	6.979290	0.42067	1.97382	-0.64289	-1.41688	-0.42942
06099	53	7862	527	2.227532	31.750996	9.052410	0.43940	-0.04620	1.40995	-1.65282	0.41680
06101	5	1309	80	1.976435	22.174078	16.107944	0.44473	0.13932	1.08581	-1.62522	0.13326
06103	4	729	47	0.256964	15.838969	5.437285	0.44359	-0.54804	1.18209	-0.50553	-0.20733
06105	1	114	8	0.345569	3.639994	9.768085	0.46826	-0.18526	1.41025	0.20952	0.10754
06107	40	7664	485	1.474644	50.788678	6.070577	0.46023	-0.61124	2.38810	-1.42611	0.00347
06109	2	454	22	2.277022	8.095264	4.851287	0.44040	0.41995	0.11382	-0.86730	-0.41401
06111	79	11605	796	1.725578	33.452735	8.239013	0.42013	2.03075	-0.39155	-1.24711	-0.12809
06113	10	2385	126	1.800664	25.937982	14.422507	0.45805	1.79140	0.56863	-2.81083	0.16454
06115	6	1150	79	3.106993	17.220479	14.201498	0.45366	-0.87578	2.17843	-2.10413	0.20307
08001	50	6684	566	2.707107	28.183600	5.806402	0.37695	0.46119	-0.42136	-1.36521	0.25736
08003	1	234	32	0.547909	41.574235	3.494588	0.46951	0.36700	1.29210	-1.02739	0.76637
08005	47	7750	733	7.217291	11.836661	7.132245	0.43284	2.66512	-0.88899	-1.78839	-0.06699
08007	1	115	12	0.282885	16.639725	3.061224	0.48169	0.80082	-0.24982	-0.90634	-0.42778
08009	0	32	3	0.000000	6.730131	2.568076	0.45054	-0.09848	-0.05386	0.41005	-0.88956
08011	1	61	10	3.451150	30.160053	3.934645	0.44438	-0.57652	0.59658	-1.01689	-0.17989
08013	16	3503	294	0.742564	10.425421	5.267296	0.43821	3.91330	-0.75494	-2.17058	0.10146
08015	0	152	12	1.576161	8.317941	3.072282	0.44107	0.62250	-0.42692	-0.64547	-0.13097
08017	0	24	1	0.000000	8.068131	0.851636	0.42360	0.14981	-1.12294	0.43997	-1.14254
08019	1	103	11	0.171637	2.628191	2.853465	0.40738	2.68162	-1.40369	-0.51470	-0.82119
08021	1	111	12	0.130952	59.107143	1.880952	0.46369	-0.83547	2.14942	1.13198	-0.79498
08023	1	39	4	0.273000	67.403767	4.286104	0.46038	-1.42656	3.39968	0.94455	-1.16296
08025	0	42	4	6.868431	22.598768	3.950707	0.50482	-0.68968	1.23851	-1.06060	-1.01461
08027	0	36	4	0.713674	2.854696	1.998287	0.45818	0.77367	-0.42451	-0.67151	-0.97274
08029	3	315	31	0.477833	11.076381	2.414313	0.42318	-0.09421	-0.17793	-0.06191	-0.68465
08031	86	10605	1117	10.663751	31.743882	5.692202	0.47122	1.85719	0.02433	-2.97804	0.61336
08033	0	23	1	0.000000	3.796095	6.073753	0.45733	-0.35422	0.41781	0.27633	-1.18339
08035	16	3816	340	1.022382	4.800701	4.457062	0.35910	4.73871	-1.72841	-1.11342	-0.89634
08037	2	783	70	0.091217	23.317890	2.458052	0.44628	2.90607	-1.13526	-2.39819	0.38151
08039	0	225	19	0.171095	3.894928	2.621779	0.34981	2.02485	-1.48873	-0.18762	-0.96269
08041	65	8613	844	5.985348	11.301165	6.549642	0.40525	1.68841	-0.47046	-2.15332	0.41057
08043	3	403	39	5.352693	10.209123	3.343808	0.40938	-0.17871	-0.25603	-0.81463	-0.52993
08045	5	820	64	0.168984	16.841360	1.879382	0.38731	0.85419	-1.04880	-1.74395	0.25427
08047	0	47	5	0.988018	3.910027	3.132226	0.35373	2.06076	-1.49705	-1.14942	1.62283
08049	1	166	16	0.112522	4.878637	2.210256	0.40884	1.64774	-1.21594	-1.63119	-0.93381
08051	3	164	16	0.508742	4.593007	2.235598	0.46156	1.73633	-0.53848	-2.64557	-0.25925
08053	0	8	0	0.000000	1.139241	3.164557	0.44499	1.03325	-1.24288	-1.52930	-0.98811
08055	0	81	4	2.594760	35.283643	4.451793	0.47257	-0.23479	1.39190	-0.73709	-0.67218
08057	0	16	1	0.000000	6.975269	2.092581	0.41534	0.29690	-0.35261	-0.45371	-1.19035
08059	30	6509	534	0.731421	9.963078	4.459298	0.39662	2.79221	-1.08723	-1.09438	-0.10305
08061	0	14	1	0.308261	3.144266	2.774353	0.44378	0.13005	-0.52610	0.34129	-0.87267
08063	1	81	5	1.834977	13.481463	1.410560	0.44101	0.10741	-0.68944	-0.24019	0.35743
08065	1	125	17	0.000000	36.264721	2.137737	0.41568	-0.06107	-0.03433	-1.30407	-0.93259
08067	2	475	43	0.268542	10.284245	7.086775	0.44849	1.69711	-0.44069	-1.17765	-0.17127
08069	19	3264	274	0.609955	8.203377	3.537659	0.41678	2.33138	-0.81841	-1.83477	0.94437
08071	0	155	18	0.111791	41.743934	3.005195	0.51178	-0.16257	0.82258	-0.36215	-0.05202
08073	0	62	6	5.010678	8.723509	2.677838	0.41229	-0.19580	-0.50022	-1.21994	-0.59771
08075	2	245	13	1.609442	11.685525	1.921576	0.43135	-0.18741	-0.57262	-0.74055	0.26851
08077	9	1578	137	0.407724	10.003011	2.698379	0.43339	0.40155	-0.16465	-1.07127	0.59149
08079	0	8	1	0.000000	1.203369	4.091456	0.51767	1.00610	-1.05950	-0.82073	-0.73528
08081	1	198	19	0.303398	9.276396	2.093447	0.38037	-0.35249	-0.36985	-0.48792	-0.13283
08083	1	320	24	0.046160	9.370541	13.143097	0.45323	0.20858	0.56750	0.05466	-0.58268
08085	2	453	40	0.424743	14.949749	2.476669	0.41724	-0.06104	-0.25944	-0.25216	-0.41654
08087	4	449	31	0.117773	31.323838	0.978985	0.41667	-0.56311	-0.15181	-0.87582	0.16978
08089	2	280	37	0.364335	37.905568	2.634041	0.44398	-0.25577	1.18060	-0.74211	0.18403
08091	0	30	3	0.080171	3.233565	2.512026	0.45299	1.87727	-1.08090	-0.96059	-0.81642
08093	1	171	22	0.867589	3.945466	2.458170	0.36449	1.63789	-1.26059	-0.43293	-1.09619
08095	1	66	4	0.312500	11.852679	1.406250	0.41705	0.14722	-0.64722	-0.26126	-0.71096
08097	0	158	13	0.430339	6.280258	2.965304	0.47949	4.36209	-1.34623	-2.30131	-0.51675
08099	1	249	18	0.283091	33.163019	1.629497	0.42795	-0.75062	0.36514	-0.96631	-0.21294
08101	13	1984	190	1.528924	38.031554	2.898807	0.45205	0.04836	0.53353	-0.96986	0.58229
08103	1	67	6	0.000000	4.944871	2.472436	0.38187	0.07357	-0.52637	-0.77067	-0.84125
08105	0	167	20	0.056392	41.754612	1.820672	0.45092	-0.14382	0.80093	-0.35803	0.19914
08107	0	215	29	0.096496	3.103098	1.665820	0.43192	2.66527	-1.10361	-1.65815	-0.25169
08109	1	91	9	0.033801	45.580531	2.974480	0.45299	-0.51763	1.18945	-0.47526	-0.79074
08111	0	5	0	0.000000	5.555556	3.225806	0.42558	1.18933	0.03856	-1.32023	-0.75524
08113	0	84	8	0.288141	5.929633	3.108887	0.51060	3.11184	-0.80730	-3.35713	0.16231
